max,consumption
30.3,366
29.9,364
29.2,360
28.6,364
27.4,360
25.1,340
25,337
24.8,339
25.3,338
25.9,337
28.4,369
29.7,367
29.7,379
29.6,374
28.9,379
29.1,369
27,366
24.7,347
24.1,342
24.4,347
25.2,339
26.5,353
28.5,364
29.8,379
31.2,387
30.5,391
29.9,388
29,374
27.4,373
26.3,358
24.4,333
24.1,336
25.3,339
26.6,357
27.4,369
29.1,389
30.1,389
30.6,397
30,406
29.2,388
28,376
26.4,366
24.7,358
24.6,351
25.9,357
27.3,371
27.9,381
29.6,400
30.2,395
30.1,404
29.9,402
29.3,395
28.1,385
26.6,370
25.3,364
24.9,350
25.8,365
27,395
29.1,394
29.2,412
